Week,Average Price
Jan-5-2014,1.01
Jan-12-2014,1.07
Jan-19-2014,1.05
Jan-26-2014,1.08
Feb-2-2014,0.91
Feb-9-2014,0.98
Feb-16-2014,1.04
Feb-23-2014,1.06
Mar-2-2014,1.02
Mar-9-2014,1.06
Mar-16-2014,1.08
Mar-23-2014,1.11
Mar-30-2014,1.07
Apr-6-2014,1.09
Apr-13-2014,1.12
Apr-20-2014,1.17
Apr-27-2014,1.18
May-4-2014,1.07
May-11-2014,1.15
May-18-2014,1.21
May-25-2014,1.19
Jun-1-2014,1.20
Jun-8-2014,1.16
Jun-15-2014,1.16
Jun-22-2014,1.13
Jun-29-2014,1.18
Jul-6-2014,1.18
Jul-13-2014,1.22
Jul-20-2014,1.19
Jul-27-2014,1.19
Aug-3-2014,1.16
Aug-10-2014,1.16
Aug-17-2014,1.15
Aug-24-2014,1.14
Aug-31-2014,1.11
Sep-7-2014,1.16
Sep-14-2014,1.14
Sep-21-2014,1.11
Sep-28-2014,1.12
Oct-5-2014,1.10
Oct-12-2014,1.09
Oct-19-2014,1.05
Oct-26-2014,1.07
Nov-2-2014,1.05
