Date,AveragePrice
2016-12-25,1
2016-12-18,0.96
2016-12-11,0.98
2016-12-04,1
2016-11-27,1.21
2016-11-20,1.27
2016-11-13,1.36
2016-11-06,1.44
2016-10-30,1.43
2016-10-23,1.34
2016-10-16,1.3
2016-10-09,1.27
2016-10-02,1.23
2016-09-25,1.22
2016-09-18,1.15
2016-09-11,1.08
2016-09-04,1.04
2016-08-28,1.09
2016-08-21,1.1
2016-08-14,1.12
2016-08-07,1.15
2016-07-31,1.23
2016-07-24,1.2
2016-07-17,1.15
2016-07-10,1.1
2016-07-03,1.06
2016-06-26,1.04
2016-06-19,1.02
2016-06-12,1.04
2016-06-05,0.97
2016-05-29,0.94
2016-05-22,0.93
2016-05-15,0.89
2016-05-08,0.82
2016-05-01,0.84
2016-04-24,0.87
2016-04-17,0.9
2016-04-10,0.9
2016-04-03,0.94
2016-03-27,0.94
2016-03-20,0.93
2016-03-13,0.93
2016-03-06,0.95
2016-02-28,0.91
2016-02-21,0.94
2016-02-14,0.88
2016-02-07,0.76
2016-01-31,0.93
2016-01-24,0.95
2016-01-17,0.94
2016-01-10,0.93
2016-01-03,0.86
