Week,Average Price
Jan-3-2010,0.75
Jan-10-2010,0.87
Jan-17-2010,0.91
Jan-24-2010,0.90
Jan-31-2010,0.95
Feb-7-2010,0.73
Feb-14-2010,0.81
Feb-21-2010,0.98
Feb-28-2010,0.97
Mar-7-2010,0.97
Mar-14-2010,0.92
Mar-21-2010,0.91
Mar-28-2010,0.91
Apr-4-2010,0.94
Apr-11-2010,0.95
Apr-18-2010,0.97
Apr-25-2010,1.00
May-2-2010,0.84
May-9-2010,0.82
May-16-2010,1.00
May-23-2010,0.99
May-30-2010,0.98
Jun-6-2010,1.00
Jun-13-2010,0.99
Jun-20-2010,0.95
Jun-27-2010,1.01
Jul-4-2010,0.98
Jul-11-2010,1.01
Jul-18-2010,1.02
Jul-25-2010,0.99
Aug-1-2010,1.01
Aug-8-2010,1.02
Aug-15-2010,1.04
Aug-22-2010,1.07
Aug-29-2010,1.04
Sep-5-2010,0.97
Sep-12-2010,1.00
Sep-19-2010,0.99
Sep-26-2010,1.05
Oct-3-2010,1.06
Oct-10-2010,1.06
Oct-17-2010,1.01
Oct-24-2010,1.03
Oct-31-2010,1.01
Nov-7-2010,1.00
Nov-14-2010,1.00
Nov-21-2010,1.07
Nov-28-2010,1.10
Dec-5-2010,1.01
Dec-12-2010,1.04
Dec-19-2010,1.08
Dec-26-2010,1.12
