Week,Average Price
Jan-1-2012,0.89
Jan-8-2012,0.96
Jan-15-2012,0.98
Jan-22-2012,0.96
Jan-29-2012,1.00
Feb-5-2012,0.80
Feb-12-2012,0.93
Feb-19-2012,1.03
Feb-26-2012,1.03
Mar-4-2012,0.98
Mar-11-2012,0.97
Mar-18-2012,0.98
Mar-25-2012,1.01
Apr-1-2012,1.01
Apr-8-2012,1.04
Apr-15-2012,0.99
Apr-22-2012,1.02
Apr-29-2012,1.12
May-6-2012,1.00
May-13-2012,1.07
May-20-2012,1.10
May-27-2012,1.07
Jun-3-2012,1.12
Jun-10-2012,1.11
Jun-17-2012,1.12
Jun-24-2012,1.09
Jul-1-2012,1.06
Jul-8-2012,1.07
Jul-15-2012,1.06
Jul-22-2012,1.06
Jul-29-2012,1.02
Aug-5-2012,1.04
Aug-12-2012,1.10
Aug-19-2012,1.08
Aug-26-2012,1.05
Sep-2-2012,1.05
Sep-9-2012,1.06
Sep-16-2012,1.05
Sep-23-2012,1.01
Sep-30-2012,1.01
Oct-7-2012,1.00
Oct-14-2012,1.04
Oct-21-2012,1.00
Oct-28-2012,0.96
Nov-4-2012,1.00
Nov-11-2012,0.98
Nov-18-2012,1.02
Nov-25-2012,1.09
Dec-2-2012,0.95
Dec-9-2012,0.94
Dec-16-2012,1.00
Dec-23-2012,1.01
Dec-30-2012,0.89
