Week,Average Price
Jan-2-2011,0.93
Jan-9-2011,1.02
Jan-16-2011,1.05
Jan-23-2011,1.04
Jan-30-2011,1.11
Feb-6-2011,0.91
Feb-13-2011,0.99
Feb-20-2011,1.09
Feb-27-2011,1.11
Mar-6-2011,1.10
Mar-13-2011,1.23
Mar-20-2011,1.30
Mar-27-2011,1.35
Apr-3-2011,1.38
Apr-10-2011,1.41
Apr-17-2011,1.43
Apr-24-2011,1.47
May-1-2011,1.42
May-8-2011,1.32
May-15-2011,1.35
May-22-2011,1.38
May-29-2011,1.37
Jun-5-2011,1.38
Jun-12-2011,1.39
Jun-19-2011,1.38
Jun-26-2011,1.37
Jul-3-2011,1.50
Jul-10-2011,1.49
Jul-17-2011,1.55
Jul-24-2011,1.57
Jul-31-2011,1.59
Aug-7-2011,1.58
Aug-14-2011,1.59
Aug-21-2011,1.60
Aug-28-2011,1.59
Sep-4-2011,1.55
Sep-11-2011,1.55
Sep-18-2011,1.42
Sep-25-2011,1.36
Oct-2-2011,1.33
Oct-9-2011,1.15
Oct-16-2011,1.12
Oct-23-2011,1.05
Oct-30-2011,1.01
Nov-6-2011,1.03
Nov-13-2011,0.99
Nov-20-2011,1.08
Nov-27-2011,1.13
Dec-4-2011,1.01
Dec-11-2011,0.96
Dec-18-2011,1.06
Dec-25-2011,1.07
