YEAR,WEEK IN YEAR,VOLUME
2014,01,6300
2014,02,24300
2014,03,862425
2014,04,1877475
2014,05,1971675
2014,06,528075
2014,07,1158075
2014,08,1721283
2014,09,1609176
2014,10,4672324
2014,11,4537593
2014,12,6516278
2014,13,6389959
2014,14,6920085
2014,15,9675813
2014,16,8262367
2014,17,13460568
2014,18,13534799
2014,19,13578096
2014,20,14079102
2014,21,15875153
2014,22,15150629
2014,23,14051440
2014,24,13108286
2014,25,12764271
2014,26,11999972
2014,27,8850057
2014,28,10700675
2014,29,10703093
2014,30,10869892
2014,31,8891817
2014,32,7335956
2014,33,6701360
2014,34,5919506
2014,35,5664271
2014,36,4028463
2014,37,3625537
2014,38,2038790
2014,39,1501577
2014,40,749834
2014,41,412807
2014,42,83054
2014,43,0
2014,44,0
2014,45,0
2014,46,0
2014,47,0
2014,48,0
2014,49,0
2014,50,11835
2014,51,22180
2014,52,52850
