YEAR,WEEK IN YEAR,VOLUME
2017,01,49737
2017,02,157060
2017,03,215612
2017,04,827113
2017,05,1027998
2017,06,1234162
2017,07,295324
2017,08,1133648
2017,09,2323343
2017,10,3944362
2017,11,5095482
2017,12,6280357
2017,13,4568585
2017,14,6584821
2017,15,7959508
2017,16,8641787
2017,17,10323122
2017,18,12303320
2017,19,11809738
2017,20,11382973
2017,21,11646104
2017,22,11653982
2017,23,8860062
2017,24,8601985
2017,25,7539339
2017,26,8151799
2017,27,8203815
2017,28,4908984
2017,29,9366792
2017,30,8020220
2017,31,5730747
2017,32,3741987
2017,33,3251191
2017,34,2219981
2017,35,2446908
2017,36,635990
2017,37,269077
2017,38,26838
2017,39,10800
2017,40,2775
2017,41,0
2017,42,0
2017,43,0
2017,44,0
2017,45,0
2017,46,0
2017,47,0
2017,48,0
2017,49,0
2017,50,0
2017,51,39213
2017,52,356516
2017,53,234104
