YEAR,WEEK IN YEAR,VOLUME
2018,01,899349
2018,02,830821
2018,03,2913663
2018,04,2698356
2018,05,2635471
2018,06,3039843
2018,07,4264449
2018,08,5031685
2018,09,4863680
2018,10,6816044
2018,11,4143387
2018,12,4997613
2018,13,8244614
2018,14,10978270
2018,15,13069634
2018,16,14568602
2018,17,16473176
2018,18,13377497
2018,19,13013238
2018,20,13573634
2018,21,14293995
2018,22,9832339
2018,23,12776858
2018,24,12202533
2018,25,11017628
2018,26,13034205
2018,27,11546402
2018,28,13081786
2018,29,8956463
2018,30,6963066
2018,31,6652168
2018,32,7234836
2018,33,8625095
2018,34,8826173
2018,35,5955763
2018,36,3157120
2018,37,3782736
2018,38,3042322
2018,39,1962416
2018,40,1459548
2018,41,798732
2018,42,786902
2018,43,332800
2018,44,0
2018,45,0
2018,46,0
2018,47,0
2018,48,0
2018,49,0
