YEAR,WEEK IN YEAR,VOLUME
2015,01,164520
2015,02,928302
2015,03,2169628
2015,04,4229894
2015,05,3232783
2015,06,2263549
2015,07,3234872
2015,08,3381938
2015,09,4753809
2015,10,5751861
2015,11,8946741
2015,12,10213402
2015,13,11400096
2015,14,11172187
2015,15,11922665
2015,16,12861987
2015,17,12586190
2015,18,12660117
2015,19,10762392
2015,20,9954767
2015,21,12394413
2015,22,9313378
2015,23,10457049
2015,24,8317935
2015,25,8931594
2015,26,9369909
2015,27,7412234
2015,28,8537692
2015,29,8576108
2015,30,7255327
2015,31,7684598
2015,32,6451491
2015,33,5672659
2015,34,3797588
2015,35,2210080
2015,36,1511472
2015,37,1119131
2015,38,543476
2015,39,287410
2015,40,104076
2015,41,0
2015,42,0
2015,43,0
2015,44,0
2015,45,0
2015,46,0
2015,47,0
2015,48,0
2015,49,0
2015,50,0
2015,51,16150
2015,52,22024
