YEAR,WEEK IN YEAR,VOLUME
2013,01,21921
2013,02,249975
2013,03,855300
2013,04,1120725
2013,05,1821900
2013,06,1335750
2013,07,1837475
2013,08,2049150
2013,09,3170625
2013,10,4583400
2013,11,9263700
2013,12,10567100
2013,13,10519875
2013,14,11061350
2013,15,11631425
2013,16,14314375
2013,17,15039650
2013,18,15158900
2013,19,12639125
2013,20,16645725
2013,21,19786075
2013,22,15773825
2013,23,17822425
2013,24,17356050
2013,25,17421025
2013,26,17151950
2013,27,15490975
2013,28,18090375
2013,29,20126600
2013,30,20170050
2013,31,17138975
2013,32,19470600
2013,33,17881450
2013,34,15667650
2013,35,14682425
2013,36,10947175
2013,37,9861125
2013,38,9893800
2013,39,8292225
2013,40,5483625
2013,41,3891500
2013,42,2331750
2013,43,819900
2013,44,220500
2013,45,289800
2013,46,4500
2013,47,0
2013,48,4500
2013,49,0
2013,50,36000
2013,51,27900
2013,52,4500
