YEAR,WEEK IN YEAR,VOLUME
2016,01,237957
2016,02,125175
2016,03,589231
2016,04,1885780
2016,05,2541711
2016,06,3995273
2016,07,2037546
2016,08,2064856
2016,09,4673718
2016,10,6695519
2016,11,5828541
2016,12,9989032
2016,13,10941508
2016,14,10958242
2016,15,8999771
2016,16,12933672
2016,17,13811335
2016,18,14281085
2016,19,13569918
2016,20,15680386
2016,21,16682626
2016,22,18993299
2016,23,14295854
2016,24,18518240
2016,25,19348839
2016,26,18024147
2016,27,18996568
2016,28,15436675
2016,29,15930311
2016,30,14818479
2016,31,13531355
2016,32,10733164
2016,33,7782378
2016,34,4832086
2016,35,3984212
2016,36,3314628
2016,37,3013314
2016,38,2656329
2016,39,2315824
2016,40,467826
2016,41,175488
2016,42,1850
2016,43,0
2016,44,0
2016,45,0
2016,46,0
2016,47,0
2016,48,0
2016,49,0
2016,50,64750
2016,51,2775
2016,52,71044
