YEAR,WEEK IN YEAR,VOLUME
2011,01,55800
2011,02,81000
2011,03,267300
2011,04,1014400
2011,05,1026900
2011,06,966600
2011,07,855900
2011,08,711275
2011,09,2175300
2011,10,2997375
2011,11,4111600
2011,12,5040550
2011,13,2416750
2011,14,5280500
2011,15,5203500
2011,16,7493325
2011,17,8271950
2011,18,8819900
2011,19,8417925
2011,20,8796175
2011,21,6965250
2011,22,11426750
2011,23,9681425
2011,24,10760225
2011,25,13628950
2011,26,14713575
2011,27,15625525
2011,28,12528800
2011,29,15351700
2011,30,14426650
2011,31,14407150
2011,32,12410425
2011,33,11674600
2011,34,9403925
2011,35,6852400
2011,36,4583750
2011,37,2174475
2011,38,1537800
2011,39,732700
2011,40,472500
2011,41,327600
2011,42,351900
2011,43,226800
2011,44,86400
2011,45,50400
2011,46,58500
2011,47,39600
2011,48,1800
2011,49,1500
2011,50,1200
2011,51,900
2011,52,33300
