YEAR,WEEK IN YEAR,PRICE
2010,01,0.75
2010,02,0.87
2010,03,0.91
2010,04,0.90
2010,05,0.95
2010,06,0.73
2010,07,0.81
2010,08,0.98
2010,09,0.97
2010,10,0.97
2010,11,0.92
2010,12,0.91
2010,13,0.91
2010,14,0.94
2010,15,0.95
2010,16,0.97
2010,17,1.00
2010,18,0.84
2010,19,0.82
2010,20,1.00
2010,21,0.99
2010,22,0.98
2010,23,1.00
2010,24,0.99
2010,25,0.95
2010,26,1.01
2010,27,0.98
2010,28,1.01
2010,29,1.02
2010,30,0.99
2010,31,1.01
2010,32,1.02
2010,33,1.04
2010,34,1.07
2010,35,1.04
2010,36,0.97
2010,37,1.00
2010,38,0.99
2010,39,1.05
2010,40,1.06
2010,41,1.06
2010,42,1.01
2010,43,1.03
2010,44,1.01
2010,45,1.00
2010,46,1.00
2010,47,1.07
2010,48,1.10
2010,49,1.01
2010,50,1.04
2010,51,1.08
2010,52,1.12
