YEAR,WEEK IN YEAR,PRICE
2014,01,1.01
2014,02,1.07
2014,03,1.05
2014,04,1.08
2014,05,0.91
2014,06,0.98
2014,07,1.04
2014,08,1.06
2014,09,1.02
2014,10,1.06
2014,11,1.08
2014,12,1.11
2014,13,1.07
2014,14,1.09
2014,15,1.12
2014,16,1.17
2014,17,1.18
2014,18,1.07
2014,19,1.15
2014,20,1.21
2014,21,1.19
2014,22,1.20
2014,23,1.16
2014,24,1.16
2014,25,1.13
2014,26,1.18
2014,27,1.18
2014,28,1.22
2014,29,1.19
2014,30,1.19
2014,31,1.16
2014,32,1.16
2014,33,1.15
2014,34,1.14
2014,35,1.11
2014,36,1.16
2014,37,1.14
2014,38,1.11
2014,39,1.12
2014,40,1.10
2014,41,1.09
2014,42,1.05
2014,43,1.07
2014,44,1.05
