YEAR,WEEK IN YEAR,PRICE
2015,52,0.95
2015,51,0.98
2015,50,0.93
2015,49,0.89
2015,48,0.99
2015,47,0.96
2015,46,0.92
2015,45,0.97
2015,44,0.97
2015,43,1.04
2015,42,0.99
2015,41,1
2015,40,1.02
2015,39,1.03
2015,38,1.02
2015,37,1.03
2015,36,1.02
2015,35,1.07
2015,34,1.08
2015,33,1.05
2015,32,1.05
2015,31,1.09
2015,30,1.07
2015,29,1.07
2015,28,1.07
2015,27,1.04
2015,26,1.06
2015,25,1.02
2015,24,0.98
2015,23,1
2015,22,1.03
2015,21,1.04
2015,20,1.06
2015,19,1.02
2015,18,0.96
2015,17,1.07
2015,16,1.03
2015,15,1.02
2015,14,1.06
2015,13,1.04
2015,12,1.01
2015,11,1.04
2015,10,1.02
2015,09,0.97
2015,08,1.02
2015,07,1.03
2015,06,0.95
2015,05,0.89
2015,04,1.04
2015,03,1.03
2015,02,1.01
2015,01,0.95
