YEAR,WEEK IN YEAR,PRICE
2011,01,0.93
2011,02,1.02
2011,03,1.05
2011,04,1.04
2011,05,1.11
2011,06,0.91
2011,07,0.99
2011,08,1.09
2011,09,1.11
2011,10,1.10
2011,11,1.23
2011,12,1.30
2011,13,1.35
2011,14,1.38
2011,15,1.41
2011,16,1.43
2011,17,1.47
2011,18,1.42
2011,19,1.32
2011,20,1.35
2011,21,1.38
2011,22,1.37
2011,23,1.38
2011,24,1.39
2011,25,1.38
2011,26,1.37
2011,27,1.50
2011,28,1.49
2011,29,1.55
2011,30,1.57
2011,31,1.59
2011,32,1.58
2011,33,1.59
2011,34,1.60
2011,35,1.59
2011,36,1.55
2011,37,1.55
2011,38,1.42
2011,39,1.36
2011,40,1.33
2011,41,1.15
2011,42,1.12
2011,43,1.05
2011,44,1.01
2011,45,1.03
2011,46,0.99
2011,47,1.08
2011,48,1.13
2011,49,1.01
2011,50,0.96
2011,51,1.06
2011,52,1.07
