YEAR,WEEK IN YEAR,PRICE
2013,01,0.93
2013,02,0.99
2013,03,0.95
2013,04,0.98
2013,05,0.82
2013,06,0.86
2013,07,0.96
2013,08,0.97
2013,09,0.94
2013,10,0.94
2013,11,0.93
2013,12,0.98
2013,13,1.02
2013,14,0.98
2013,15,0.98
2013,16,0.99
2013,17,1.02
2013,18,0.90
2013,19,0.97
2013,20,1.01
2013,21,0.97
2013,22,1.03
2013,23,1.02
2013,24,1.03
2013,25,1.01
2013,26,0.99
2013,27,1.02
2013,28,1.05
2013,29,1.06
2013,30,1.10
2013,31,1.13
2013,32,1.14
2013,33,1.18
2013,34,1.15
2013,35,1.07
2013,36,1.09
2013,37,1.10
2013,38,1.11
2013,39,1.15
2013,40,1.18
2013,41,1.19
2013,42,1.19
2013,43,1.15
2013,44,1.14
2013,45,1.12
2013,46,1.05
2013,47,1.18
2013,48,1.16
2013,49,1.05
2013,50,1.05
2013,51,1.12
2013,52,1.02
