YEAR,WEEK IN YEAR,PRICE
2017,53,0.98
2017,52,1.18
2017,51,1.07
2017,50,1.03
2017,49,1.09
2017,48,1.24
2017,47,1.17
2017,46,1.15
2017,45,1.19
2017,44,1.29
2017,43,1.44
2017,42,1.58
2017,41,1.65
2017,40,1.64
2017,39,1.62
2017,38,1.57
2017,37,1.56
2017,36,1.57
2017,35,1.47
2017,34,1.41
2017,33,1.33
2017,32,1.33
2017,31,1.32
2017,30,1.31
2017,29,1.33
2017,28,1.17
2017,27,1.21
2017,26,1.17
2017,25,1.18
2017,24,1.21
2017,23,1.24
2017,22,1.28
2017,21,1.26
2017,20,1.19
2017,19,1.09
2017,18,1.18
2017,17,1.18
2017,16,1.23
2017,15,1.21
2017,14,1.21
2017,13,1.24
2017,12,1.25
2017,11,1.22
2017,10,1.13
2017,09,0.99
2017,08,0.99
2017,07,0.87
2017,06,0.77
2017,05,0.96
2017,04,0.94
2017,03,0.98
2017,02,0.99
2017,01,0.89
