YEAR,WEEK IN YEAR,PRICE
2016,52,1
2016,51,0.96
2016,50,0.98
2016,49,1
2016,48,1.21
2016,47,1.27
2016,46,1.36
2016,45,1.44
2016,44,1.43
2016,43,1.34
2016,42,1.3
2016,41,1.27
2016,40,1.23
2016,39,1.22
2016,38,1.15
2016,37,1.08
2016,36,1.04
2016,35,1.09
2016,34,1.1
2016,33,1.12
2016,32,1.15
2016,31,1.23
2016,30,1.2
2016,29,1.15
2016,28,1.1
2016,27,1.06
2016,26,1.04
2016,25,1.02
2016,24,1.04
2016,23,0.97
2016,22,0.94
2016,21,0.93
2016,20,0.89
2016,19,0.82
2016,18,0.84
2016,17,0.87
2016,16,0.9
2016,15,0.9
2016,14,0.94
2016,13,0.94
2016,12,0.93
2016,11,0.93
2016,10,0.95
2016,09,0.91
2016,08,0.94
2016,07,0.88
2016,06,0.76
2016,05,0.93
2016,04,0.95
2016,03,0.94
2016,02,0.93
2016,01,0.86
