Week,California
Jan-02-2011,55800
Jan-09-2011,81000
Jan-16-2011,267300
Jan-23-2011,1014400
Jan-30-2011,1026900
Feb-06-2011,966600
Feb-13-2011,855900
Feb-20-2011,711275
Feb-27-2011,2175300
Mar-06-2011,2997375
Mar-13-2011,4111600
Mar-20-2011,5040550
Mar-27-2011,2416750
Apr-03-2011,5280500
Apr-10-2011,5203500
Apr-17-2011,7493325
Apr-24-2011,8271950
May-01-2011,8819900
May-08-2011,8417925
May-15-2011,8796175
May-22-2011,6965250
May-29-2011,11426750
Jun-05-2011,9681425
Jun-12-2011,10760225
Jun-19-2011,13628950
Jun-26-2011,14713575
Jul-03-2011,15625525
Jul-10-2011,12528800
Jul-17-2011,15351700
Jul-24-2011,14426650
Jul-31-2011,14407150
Aug-07-2011,12410425
Aug-14-2011,11674600
Aug-21-2011,9403925
Aug-28-2011,6852400
Sep-04-2011,4583750
Sep-11-2011,2174475
Sep-18-2011,1537800
Sep-25-2011,732700
Oct-02-2011,472500
Oct-09-2011,327600
Oct-16-2011,351900
Oct-23-2011,226800
Oct-30-2011,86400
Nov-06-2011,50400
Nov-13-2011,58500
Nov-20-2011,39600
Nov-27-2011,1800
Dec-04-2011,n/a
Dec-11-2011,n/a
Dec-18-2011,900
Dec-25-2011,33300
