Week,California
Jan-05-2014,6300
Jan-12-2014,24300
Jan-19-2014,862425
Jan-26-2014,1877475
Feb-02-2014,1971675
Feb-09-2014,528075
Feb-16-2014,1158075
Feb-23-2014,1721283
Mar-02-2014,1609176
Mar-09-2014,4672324
Mar-16-2014,4537593
Mar-23-2014,6516278
Mar-30-2014,6389959
Apr-06-2014,6920085
Apr-13-2014,9675813
Apr-20-2014,8262367
Apr-27-2014,13460568
May-04-2014,13534799
May-11-2014,13578096
May-18-2014,14079102
May-25-2014,15875153
Jun-01-2014,15150629
Jun-08-2014,14051440
Jun-15-2014,13108286
Jun-22-2014,12764271
Jun-29-2014,11999972
Jul-06-2014,8850057
Jul-13-2014,10700675
Jul-20-2014,10703093
Jul-27-2014,10869892
Aug-03-2014,8891817
Aug-10-2014,7335956
Aug-17-2014,6701360
Aug-24-2014,5919506
Aug-31-2014,5664271
Sep-07-2014,4028463
Sep-14-2014,3625537
Sep-21-2014,2038790
Sep-28-2014,1501577
Oct-05-2014,749834
Oct-12-2014,412807
Oct-19-2014,83054
Oct-26-2014,0
Nov-02-2014,0
Nov-09-2014,0
Nov-16-2014,0
Nov-23-2014,0
Nov-30-2014,0
Dec-07-2014,0
Dec-14-2014,11835
Dec-21-2014,22180
Dec-28-2014,52850
