Week,California
Jan-03-2016,237957
Jan-10-2016,125175
Jan-17-2016,589231
Jan-24-2016,1885780
Jan-31-2016,2541711
Feb-07-2016,3995273
Feb-14-2016,2037546
Feb-21-2016,2064856
Feb-28-2016,4673718
Mar-06-2016,6695519
Mar-13-2016,5828541
Mar-20-2016,9989032
Mar-27-2016,10941508
Apr-03-2016,10958242
Apr-10-2016,8999771
Apr-17-2016,12933672
Apr-24-2016,13811335
May-01-2016,14281085
May-08-2016,13569918
May-15-2016,15680386
May-22-2016,16682626
May-29-2016,18993299
Jun-05-2016,14295854
Jun-12-2016,18518240
Jun-19-2016,19348839
Jun-26-2016,18024147
Jul-03-2016,18996568
Jul-10-2016,15436675
Jul-17-2016,15930311
Jul-24-2016,14818479
Jul-31-2016,13531355
Aug-07-2016,10733164
Aug-14-2016,7782378
Aug-21-2016,4832086
Aug-28-2016,3984212
Sep-04-2016,3314628
Sep-11-2016,3013314
Sep-18-2016,2656329
Sep-25-2016,2315824
Oct-02-2016,467826
Oct-09-2016,175488
Oct-16-2016,1850
Oct-23-2016,0
Oct-30-2016,0
Nov-06-2016,0
Nov-13-2016,0
Nov-20-2016,0
Nov-27-2016,0
Dec-04-2016,0
Dec-11-2016,64750
Dec-18-2016,2775
Dec-25-2016,71044
