Week,California
Jan-04-2015,164520
Jan-11-2015,928302
Jan-18-2015,2169628
Jan-25-2015,4229894
Feb-01-2015,3232783
Feb-08-2015,2263549
Feb-15-2015,3234872
Feb-22-2015,3381938
Mar-01-2015,4753809
Mar-08-2015,5751861
Mar-15-2015,8946741
Mar-22-2015,10213402
Mar-29-2015,11400096
Apr-05-2015,11172187
Apr-12-2015,11922665
Apr-19-2015,12861987
Apr-26-2015,12586190
May-03-2015,12660117
May-10-2015,10762392
May-17-2015,9954767
May-24-2015,12394413
May-31-2015,9313378
Jun-07-2015,10457049
Jun-14-2015,8317935
Jun-21-2015,8931594
Jun-28-2015,9369909
Jul-05-2015,7412234
Jul-12-2015,8537692
Jul-19-2015,8576108
Jul-26-2015,7255327
Aug-02-2015,7684598
Aug-09-2015,6451491
Aug-16-2015,5672659
Aug-23-2015,3797588
Aug-30-2015,2210080
Sep-06-2015,1511472
Sep-13-2015,1119131
Sep-20-2015,543476
Sep-27-2015,287410
Oct-04-2015,104076
Oct-11-2015,0
Oct-18-2015,0
Oct-25-2015,0
Nov-01-2015,0
Nov-08-2015,0
Nov-15-2015,0
Nov-22-2015,0
Nov-29-2015,0
Dec-06-2015,0
Dec-13-2015,0
Dec-20-2015,16150
Dec-27-2015,22024
