Week,California
Jan-07-2018,899349
Jan-14-2018,830821
Jan-21-2018,2913663
Jan-28-2018,2698356
Feb-04-2018,2635471
Feb-11-2018,3039843
Feb-18-2018,4264449
Feb-25-2018,5031685
Mar-04-2018,4863680
Mar-11-2018,6816044
Mar-18-2018,4143387
Mar-25-2018,4997613
Apr-01-2018,8244614
Apr-08-2018,10978270
Apr-15-2018,13069634
Apr-22-2018,14568602
Apr-29-2018,16473176
May-06-2018,13377497
May-13-2018,13013238
May-20-2018,13573634
May-27-2018,14293995
Jun-03-2018,9832339
Jun-10-2018,12776858
Jun-17-2018,12202533
Jun-24-2018,11017628
Jul-01-2018,13034205
Jul-08-2018,11546402
Jul-15-2018,13081786
Jul-22-2018,8956463
Jul-29-2018,6963066
Aug-05-2018,6652168
Aug-12-2018,7234836
Aug-19-2018,8625095
Aug-26-2018,8826173
Sep-02-2018,5955763
Sep-09-2018,3157120
Sep-16-2018,3782736
Sep-23-2018,3042322
Sep-30-2018,1962416
Oct-07-2018,1459548
Oct-14-2018,798732
Oct-21-2018,786902
Oct-28-2018,332800
Nov-04-2018,0
Nov-11-2018,0
Nov-18-2018,0
Nov-25-2018,0
Dec-02-2018,0
Dec-09-2018,0
