Week,California
Jan-01-2017,49737
Jan-08-2017,157060
Jan-15-2017,215612
Jan-22-2017,827113
Jan-29-2017,1027998
Feb-05-2017,1234162
Feb-12-2017,295324
Feb-19-2017,1133648
Feb-26-2017,2323343
Mar-05-2017,3944362
Mar-12-2017,5095482
Mar-19-2017,6280357
Mar-26-2017,4568585
Apr-02-2017,6584821
Apr-09-2017,7959508
Apr-16-2017,8641787
Apr-23-2017,10323122
Apr-30-2017,12303320
May-07-2017,11809738
May-14-2017,11382973
May-21-2017,11646104
May-28-2017,11653982
Jun-04-2017,8860062
Jun-11-2017,8601985
Jun-18-2017,7539339
Jun-25-2017,8151799
Jul-02-2017,8203815
Jul-09-2017,4908984
Jul-16-2017,9366792
Jul-23-2017,8020220
Jul-30-2017,5730747
Aug-06-2017,3741987
Aug-13-2017,3251191
Aug-20-2017,2219981
Aug-27-2017,2446908
Sep-03-2017,635990
Sep-10-2017,269077
Sep-17-2017,26838
Sep-24-2017,10800
Oct-01-2017,2775
Oct-08-2017,0
Oct-15-2017,0
Oct-22-2017,0
Oct-29-2017,0
Nov-05-2017,0
Nov-12-2017,0
Nov-19-2017,0
Nov-26-2017,0
Dec-03-2017,0
Dec-10-2017,0
Dec-17-2017,39213
Dec-24-2017,356516
Dec-31-2017,234104
