Week,California
Jan-01-2012,42300
Jan-08-2012,198600
Jan-15-2012,419100
Jan-22-2012,1031550
Jan-29-2012,1227975
Feb-05-2012,1701900
Feb-12-2012,1130950
Feb-19-2012,1888200
Feb-26-2012,2887050
Mar-04-2012,4295325
Mar-11-2012,5846850
Mar-18-2012,6025975
Mar-25-2012,6784950
Apr-01-2012,6618130
Apr-08-2012,10182825
Apr-15-2012,7918525
Apr-22-2012,14886525
Apr-29-2012,12207800
May-06-2012,13109950
May-13-2012,11366075
May-20-2012,12883125
May-27-2012,14519550
Jun-03-2012,13155225
Jun-10-2012,15832025
Jun-17-2012,16465400
Jun-24-2012,17256850
Jul-01-2012,16816050
Jul-08-2012,14803850
Jul-15-2012,16732550
Jul-22-2012,16293200
Jul-29-2012,15468900
Aug-05-2012,16222225
Aug-12-2012,15551900
Aug-19-2012,16529825
Aug-26-2012,17433900
Sep-02-2012,16726750
Sep-09-2012,12198375
Sep-16-2012,11685650
Sep-23-2012,11034025
Sep-30-2012,8903500
Oct-07-2012,5921050
Oct-14-2012,4511250
Oct-21-2012,3455100
Oct-28-2012,1789425
Nov-04-2012,931500
Nov-11-2012,1140300
Nov-18-2012,51300
Nov-25-2012,n/a
Dec-02-2012,n/a
Dec-09-2012,n/a
Dec-16-2012,15250
Dec-23-2012,60300
Dec-30-2012,17100
