Week,California
Jan-06-2013,21921
Jan-13-2013,249975
Jan-20-2013,855300
Jan-27-2013,1120725
Feb-03-2013,1821900
Feb-10-2013,1335750
Feb-17-2013,1837475
Feb-24-2013,2049150
Mar-03-2013,3170625
Mar-10-2013,4583400
Mar-17-2013,9263700
Mar-24-2013,10567100
Mar-31-2013,10519875
Apr-07-2013,11061350
Apr-14-2013,11631425
Apr-21-2013,14314375
Apr-28-2013,15039650
May-05-2013,15158900
May-12-2013,12639125
May-19-2013,16645725
May-26-2013,19786075
Jun-02-2013,15773825
Jun-09-2013,17822425
Jun-16-2013,17356050
Jun-23-2013,17421025
Jun-30-2013,17151950
Jul-07-2013,15490975
Jul-14-2013,18090375
Jul-21-2013,20126600
Jul-28-2013,20170050
Aug-04-2013,17138975
Aug-11-2013,19470600
Aug-18-2013,17881450
Aug-25-2013,15667650
Sep-01-2013,14682425
Sep-08-2013,10947175
Sep-15-2013,9861125
Sep-22-2013,9893800
Sep-29-2013,8292225
Oct-06-2013,5483625
Oct-13-2013,3891500
Oct-20-2013,2331750
Oct-27-2013,819900
Nov-03-2013,220500
Nov-10-2013,289800
Nov-17-2013,4500
Nov-24-2013,0
Dec-01-2013,4500
Dec-08-2013,0
Dec-15-2013,36000
Dec-22-2013,27900
Dec-29-2013,4500
